station_id,name,bikes_allowed,notes
S1,Station 1,No,Bicycles restricted at this station.
S2,Station 2,Yes,
S3,Station 3,Yes,
S4,Station 4,Yes,
S5,Station 5,Yes,
S6,Station 6,Yes,
S7,Station 7,Yes,
S8,Station 8,Yes,
S9,Station 9,Yes,
S10,Station 10,Yes,
S11,Station 11,Yes,
S12,Station 12,No,Bicycles restricted at this station.
S13,Station 13,Yes,
S14,Station 14,Yes,
S15,Station 15,Yes,
S16,Station 16,Yes,
S17,Station 17,Yes,
S18,Station 18,Yes,
S19,Station 19,Yes,
S20,Station 20,Yes,
S21,Station 21,Yes,
S22,Station 22,No,Bicycles restricted at this station.
S23,Station 23,Yes,
S24,Station 24,Yes,
S25,Station 25,No,Bicycles restricted at this station.
S26,Station 26,Yes,
S27,Station 27,Yes,
S28,Station 28,No,Bicycles restricted at this station.
S29,Station 29,Yes,
S30,Station 30,Yes,
S31,Station 31,Yes,
S32,Station 32,Yes,
S33,Station 33,Yes,
S34,Station 34,Yes,
S35,Station 35,Yes,
S36,Station 36,Yes,
S37,Station 37,Yes,
S38,Station 38,No,Bicycles restricted at this station.
S39,Station 39,Yes,
S40,Station 40,Yes,
S41,Station 41,Yes,
S42,Station 42,Yes,
S43,Station 43,Yes,
S44,Station 44,Yes,
S45,Station 45,Yes,
S46,Station 46,No,Bicycles restricted at this station.
S47,Station 47,Yes,
S48,Station 48,Yes,
S49,Station 49,Yes,
S50,Station 50,No,Bicycles restricted at this station.
S51,Station 51,Yes,
S52,Station 52,Yes,
S53,Station 53,Yes,
S54,Station 54,Yes,
S55,Station 55,Yes,
S56,Station 56,Yes,
S57,Station 57,Yes,
S58,Station 58,Yes,
S59,Station 59,Yes,
S60,Station 60,Yes,
S61,Station 61,Yes,
S62,Station 62,Yes,
S63,Station 63,Yes,
S64,Station 64,Yes,
S65,Station 65,Yes,
S66,Station 66,Yes,
S67,Station 67,Yes,
S68,Station 68,No,Bicycles restricted at this station.
S69,Station 69,Yes,
S70,Station 70,Yes,
S71,Station 71,Yes,
S72,Station 72,Yes,
S73,Station 73,Yes,
S74,Station 74,Yes,
S75,Station 75,Yes,
S76,Station 76,Yes,
S77,Station 77,Yes,
S78,Station 78,Yes,
S79,Station 79,Yes,
S80,Station 80,Yes,
S81,Station 81,Yes,
S82,Station 82,No,Bicycles restricted at this station.
S83,Station 83,Yes,
S84,Station 84,Yes,
S85,Station 85,Yes,
S86,Station 86,Yes,
S87,Station 87,No,Bicycles restricted at this station.
S88,Station 88,Yes,
S89,Station 89,No,Bicycles restricted at this station.
S90,Station 90,No,Bicycles restricted at this station.
S91,Station 91,Yes,
S92,Station 92,No,Bicycles restricted at this station.
S93,Station 93,No,Bicycles restricted at this station.
S94,Station 94,Yes,
S95,Station 95,Yes,
S96,Station 96,Yes,
S97,Station 97,Yes,
S98,Station 98,No,Bicycles restricted at this station.
S99,Station 99,No,Bicycles restricted at this station.
S100,Station 100,Yes,
